"","","Jackson County, Missouri","Jackson County, Missouri"
"","","St. Charles County, Missouri","St. Charles County, Missouri"
"","","Strafford County, New Hampshire","Strafford County, New Hampshire"
"","","Cape May County, New Jersey","Cape May County, New Jersey"
"","","Gloucester County, New Jersey","Gloucester County, New Jersey"
"","","Bergen County, New Jersey","Bergen County, New Jersey"
"","","Hunterdon County, New Jersey","Hunterdon County, New Jersey"
"","","San Juan County, New Mexico","San Juan County, New Mexico"
"","","Jefferson County, New York","Jefferson County, New York"
"","","Clinton County, New York","Clinton County, New York"
"","","New Hanover County, North Carolina","New Hanover County, North Carolina"
"","","Mecklenburg County, North Carolina","Mecklenburg County, North Carolina"
"","","Henderson County, North Carolina","Henderson County, North Carolina"
"","","Robeson County, North Carolina","Robeson County, North Carolina"
"","","Cass County, North Dakota","Cass County, North Dakota"
"","","Lowndes County, Georgia","Lowndes County, Georgia"
"","","Honolulu County, Hawaii","Honolulu County, Hawaii"
"","","Hawaii County, Hawaii","Hawaii County, Hawaii"
"","","Bullitt County, Kentucky","Bullitt County, Kentucky"
"","","Fayette County, Kentucky","Fayette County, Kentucky"
"","","Anderson County, South Carolina","Anderson County, South Carolina"
"","","Spartanburg County, South Carolina","Spartanburg County, South Carolina"
"","","Sevier County, Tennessee","Sevier County, Tennessee"
"","","Robertson County, Tennessee","Robertson County, Tennessee"
"","","Galveston County, Texas","Galveston County, Texas"
"","","Webb County, Texas","Webb County, Texas"
"","","San Patricio County, Texas","San Patricio County, Texas"
"","","El Paso County, Texas","El Paso County, Texas"
"","","Jefferson County, Texas","Jefferson County, Texas"
"","","Cache County, Utah","Cache County, Utah"
"","","James City County, Virginia","James City County, Virginia"
"","","Prince William County, Virginia","Prince William County, Virginia"
"","","Fairfax County, Virginia","Fairfax County, Virginia"
"","","Whatcom County, Washington","Whatcom County, Washington"
"","","Thurston County, Washington","Thurston County, Washington"
"","","King County, Washington","King County, Washington"
"","","Jefferson County, Arkansas","Jefferson County, Arkansas"
"","","Madera County, California","Madera County, California"
"","","Merced County, California","Merced County, California"
"","","Tehama County, California","Tehama County, California"
"","","Yuba County, California","Yuba County, California"
"","","Alachua County, Florida","Alachua County, Florida"
"","","Leon County, Florida","Leon County, Florida"
"","","Columbia County, Florida","Columbia County, Florida"
"","","DeKalb County, Georgia","DeKalb County, Georgia"
"","","Hall County, Georgia","Hall County, Georgia"
"","","Houston County, Georgia","Houston County, Georgia"
"","","Jackson County, Georgia","Jackson County, Georgia"
"","","Barrow County, Georgia","Barrow County, Georgia"
"","","Fayette County, Georgia","Fayette County, Georgia"
"","","Victoria County, Texas","Victoria County, Texas"
"","","Walker County, Texas","Walker County, Texas"
"","","St. Tammany Parish, Louisiana","St. Tammany Parish, Louisiana"
"","","Ouachita Parish, Louisiana","Ouachita Parish, Louisiana"
"","","St. Landry Parish, Louisiana","St. Landry Parish, Louisiana"
"","","Howard County, Maryland","Howard County, Maryland"
"","","Hennepin County, Minnesota","Hennepin County, Minnesota"
"","","Blue Earth County, Minnesota","Blue Earth County, Minnesota"
"","","Madison County, Mississippi","Madison County, Mississippi"
"","","Lee County, Mississippi","Lee County, Mississippi"
"","","Lamar County, Mississippi","Lamar County, Mississippi"
"","","Missoula County, Montana","Missoula County, Montana"
"","","Lewis and Clark County, Montana","Lewis and Clark County, Montana"
"","","Morris County, New Jersey","Morris County, New Jersey"
"","","Saratoga County, New York","Saratoga County, New York"
"","","Caldwell County, North Carolina","Caldwell County, North Carolina"
"","","Clackamas County, Oregon","Clackamas County, Oregon"
"","","Marion County, Oregon","Marion County, Oregon"
"","","Sumter County, South Carolina","Sumter County, South Carolina"
"","","Dorchester County, South Carolina","Dorchester County, South Carolina"
"","","Berkeley County, South Carolina","Berkeley County, South Carolina"
"","","Orangeburg County, South Carolina","Orangeburg County, South Carolina"
"","","Kershaw County, South Carolina","Kershaw County, South Carolina"
"","","Laurens County, South Carolina","Laurens County, South Carolina"
"","","Knox County, Tennessee","Knox County, Tennessee"
"","","Wilson County, Tennessee","Wilson County, Tennessee"
"","","Maury County, Tennessee","Maury County, Tennessee"
"","","Comal County, Texas","Comal County, Texas"
"","","Travis County, Texas","Travis County, Texas"
"","","Prince George's County, Maryland","Prince George's County, Maryland"
"","","Cecil County, Maryland","Cecil County, Maryland"
"","","Montgomery County, Alabama","Montgomery County, Alabama"
"","","Marshall County, Alabama","Marshall County, Alabama"
"","","Middlesex County, Massachusetts","Middlesex County, Massachusetts"
"","","Worcester County, Massachusetts","Worcester County, Massachusetts"
"","","Clark County, Nevada","Clark County, Nevada"
"","","Salem County, New Jersey","Salem County, New Jersey"
"","","Mercer County, New Jersey","Mercer County, New Jersey"
"","","Chautauqua County, New York","Chautauqua County, New York"
"","","Brunswick County, North Carolina","Brunswick County, North Carolina"
"","","Hamilton County, Ohio","Hamilton County, Ohio"
"","","Klamath County, Oregon","Klamath County, Oregon"
"","","York County, Pennsylvania","York County, Pennsylvania"
"","","Northampton County, Pennsylvania","Northampton County, Pennsylvania"
"","","Charleston County, South Carolina","Charleston County, South Carolina"
"","","Shelby County, Tennessee","Shelby County, Tennessee"
"","","Harrison County, Texas","Harrison County, Texas"
"","","Bowie County, Texas","Bowie County, Texas"
"","","Tooele County, Utah","Tooele County, Utah"
"","","Clark County, Washington","Clark County, Washington"
"","","Mason County, Washington","Mason County, Washington"
"","","Yavapai County, Arizona","Yavapai County, Arizona"
"","","Davis County, Utah","Davis County, Utah"
"","","Roanoke County, Virginia","Roanoke County, Virginia"
"","","Yakima County, Washington","Yakima County, Washington"
"","","Lewis County, Washington","Lewis County, Washington"
"","","Raleigh County, West Virginia","Raleigh County, West Virginia"
"","","Waukesha County, Wisconsin","Waukesha County, Wisconsin"
"","","Baldwin County, Alabama","Baldwin County, Alabama"
"","","San Diego County, California","San Diego County, California"
"","","San Mateo County, California","San Mateo County, California"
"","","El Dorado County, California","El Dorado County, California"
"","","Butte County, California","Butte County, California"
"","","South Central Connecticut Planning Region, Connecticut","South Central Connecticut Planning Region, Connecticut"
"","","Pinal County, Arizona","Pinal County, Arizona"
"","","Columbia County, Georgia","Columbia County, Georgia"
"","","Whitfield County, Georgia","Whitfield County, Georgia"
"","","Muskegon County, Michigan","Muskegon County, Michigan"
"","","Pottawatomie County, Oklahoma","Pottawatomie County, Oklahoma"
"","","Boulder County, Colorado","Boulder County, Colorado"
"","","Iberia Parish, Louisiana","Iberia Parish, Louisiana"
"","","Calcasieu Parish, Louisiana","Calcasieu Parish, Louisiana"
"","","Chester County, Pennsylvania","Chester County, Pennsylvania"
"","","Wayne County, Michigan","Wayne County, Michigan"
"","","Kings County, New York","Kings County, New York"
"","","Grand Traverse County, Michigan","Grand Traverse County, Michigan"
"","","Daviess County, Kentucky","Daviess County, Kentucky"
"","","Marion County, Florida","Marion County, Florida"
"","","Henry County, Georgia","Henry County, Georgia"
"","","Riley County, Kansas","Riley County, Kansas"
"","","Madison County, Kentucky","Madison County, Kentucky"
"","","Orleans Parish, Louisiana","Orleans Parish, Louisiana"
"","","Stearns County, Minnesota","Stearns County, Minnesota"
"","","Somerset County, New Jersey","Somerset County, New Jersey"
"","","Johnston County, North Carolina","Johnston County, North Carolina"
"","","Wagoner County, Oklahoma","Wagoner County, Oklahoma"
"","","Montgomery County, Pennsylvania","Montgomery County, Pennsylvania"
"","","Blair County, Pennsylvania","Blair County, Pennsylvania"
"","","Clearfield County, Pennsylvania","Clearfield County, Pennsylvania"
"","","Greenwood County, South Carolina","Greenwood County, South Carolina"
"","","Hamblen County, Tennessee","Hamblen County, Tennessee"
"","","Ector County, Texas","Ector County, Texas"
"","","Chesterfield County, Virginia","Chesterfield County, Virginia"
"","","Spotsylvania County, Virginia","Spotsylvania County, Virginia"
"","","Kanawha County, West Virginia","Kanawha County, West Virginia"
"","","Lake County, Illinois","Lake County, Illinois"
"","","Orange County, California","Orange County, California"
"","","Marin County, California","Marin County, California"
"","","Santa Clara County, California","Santa Clara County, California"
"","","San Joaquin County, California","San Joaquin County, California"
"","","Fresno County, California","Fresno County, California"
"","","Southeastern Connecticut Planning Region, Connecticut","Southeastern Connecticut Planning Region, Connecticut"
"","","Douglas County, Oregon","Douglas County, Oregon"
"","","Multnomah County, Oregon","Multnomah County, Oregon"
"","","Somerset County, Pennsylvania","Somerset County, Pennsylvania"
"","","Philadelphia County, Pennsylvania","Philadelphia County, Pennsylvania"
"","","Ulster County, New York","Ulster County, New York"
"","","Wilkes County, North Carolina","Wilkes County, North Carolina"
"","","Benton County, Oregon","Benton County, Oregon"
"","","Greene County, Tennessee","Greene County, Tennessee"
"","","Williamson County, Tennessee","Williamson County, Tennessee"
"","","Davidson County, Tennessee","Davidson County, Tennessee"
"","","Montgomery County, Texas","Montgomery County, Texas"
"","","Franklin County, Washington","Franklin County, Washington"
"","","Grant County, Washington","Grant County, Washington"
"","","Monterey County, California","Monterey County, California"
"","","Lake County, Indiana","Lake County, Indiana"
"","","Queens County, New York","Queens County, New York"
"","","Arapahoe County, Colorado","Arapahoe County, Colorado"
"","","Harford County, Maryland","Harford County, Maryland"
"","","Shelby County, Alabama","Shelby County, Alabama"
"","","Franklin County, Massachusetts","Franklin County, Massachusetts"
"","","Onslow County, North Carolina","Onslow County, North Carolina"
"","","Washington County, Pennsylvania","Washington County, Pennsylvania"
"","","Oconee County, South Carolina","Oconee County, South Carolina"
"","","Tangipahoa Parish, Louisiana","Tangipahoa Parish, Louisiana"
"","","Allegany County, Maryland","Allegany County, Maryland"
"","","Washoe County, Nevada","Washoe County, Nevada"
"","","Rockingham County, New Hampshire","Rockingham County, New Hampshire"
"","","Grafton County, New Hampshire","Grafton County, New Hampshire"
"","","Atlantic County, New Jersey","Atlantic County, New Jersey"
"","","Kauai County, Hawaii","Kauai County, Hawaii"
"","","Hidalgo County, Texas","Hidalgo County, Texas"
"","","Frederick County, Virginia","Frederick County, Virginia"
"","","Rockingham County, Virginia","Rockingham County, Virginia"
"","","Skagit County, Washington","Skagit County, Washington"
"","","White County, Arkansas","White County, Arkansas"
"","","Lonoke County, Arkansas","Lonoke County, Arkansas"
"","","Polk County, Florida","Polk County, Florida"
"","","Highlands County, Florida","Highlands County, Florida"
"","","Utah County, Utah","Utah County, Utah"
"","","Livingston Parish, Louisiana","Livingston Parish, Louisiana"
"","","Hinds County, Mississippi","Hinds County, Mississippi"
"","","Brevard County, Florida","Brevard County, Florida"
"","","Yuma County, Arizona","Yuma County, Arizona"
"","","Sebastian County, Arkansas","Sebastian County, Arkansas"
"","","Contra Costa County, California","Contra Costa County, California"
"","","Lower Connecticut River Valley Planning Region, Connecticut","Lower Connecticut River Valley Planning Region, Connecticut"
"","","Twin Falls County, Idaho","Twin Falls County, Idaho"
"","","St. Clair County, Michigan","St. Clair County, Michigan"
"","","Suffolk County, New York","Suffolk County, New York"
"","","Cumberland County, Maine","Cumberland County, Maine"
"","","St. Louis County, Missouri","St. Louis County, Missouri"
"","","Flathead County, Montana","Flathead County, Montana"
"","","Stafford County, Virginia","Stafford County, Virginia"
"","","Bibb County, Georgia","Bibb County, Georgia"
"","","Rowan County, North Carolina","Rowan County, North Carolina"
"","","Brazos County, Texas","Brazos County, Texas"
"","","San Juan Municipio, Puerto Rico","San Juan Municipio, Puerto Rico"
"","","Hillsborough County, Florida","Hillsborough County, Florida"
"","","Chatham County, Georgia","Chatham County, Georgia"
"","","DeKalb County, Alabama","DeKalb County, Alabama"
"","","Lake County, California","Lake County, California"
"","","Bucks County, Pennsylvania","Bucks County, Pennsylvania"
"","","Beaufort County, South Carolina","Beaufort County, South Carolina"
"","","Niagara County, New York","Niagara County, New York"
"","","Westchester County, New York","Westchester County, New York"
"","","Sullivan County, New York","Sullivan County, New York"
"","","Adams County, Colorado","Adams County, Colorado"
"","","Jefferson County, Alabama","Jefferson County, Alabama"
"","","Cass County, Missouri","Cass County, Missouri"
"","","Passaic County, New Jersey","Passaic County, New Jersey"
"","","Pender County, North Carolina","Pender County, North Carolina"
"","","Sumner County, Tennessee","Sumner County, Tennessee"
"","","Starr County, Texas","Starr County, Texas"
"","","Cowlitz County, Washington","Cowlitz County, Washington"
"","","Faulkner County, Arkansas","Faulkner County, Arkansas"
"","","Seminole County, Florida","Seminole County, Florida"
"","","Bossier Parish, Louisiana","Bossier Parish, Louisiana"
"","","Muskogee County, Oklahoma","Muskogee County, Oklahoma"
"","","Northumberland County, Pennsylvania","Northumberland County, Pennsylvania"
"","","Anderson County, Tennessee","Anderson County, Tennessee"
"","","Randall County, Texas","Randall County, Texas"
"","","San Luis Obispo County, California","San Luis Obispo County, California"
"","","Nevada County, California","Nevada County, California"
"","","Will County, Illinois","Will County, Illinois"
"","","Warren County, New York","Warren County, New York"
"","","Oswego County, New York","Oswego County, New York"
"","","Newport County, Rhode Island","Newport County, Rhode Island"
"","","Cabell County, West Virginia","Cabell County, West Virginia"
"","","Bannock County, Idaho","Bannock County, Idaho"
"","","Rapides Parish, Louisiana","Rapides Parish, Louisiana"
"","","Sandoval County, New Mexico","Sandoval County, New Mexico"
"","","Rutherford County, Tennessee","Rutherford County, Tennessee"
"","","Guadalupe County, Texas","Guadalupe County, Texas"
"","","Pinellas County, Florida","Pinellas County, Florida"
"","","Nueces County, Texas","Nueces County, Texas"
"","","Lake County, Florida","Lake County, Florida"
"","","Wright County, Minnesota","Wright County, Minnesota"
"","","Linn County, Oregon","Linn County, Oregon"
"","","Bexar County, Texas","Bexar County, Texas"
"","","Smith County, Texas","Smith County, Texas"
"","","District of Columbia, District of Columbia","District of Columbia, District of Columbia"
"","","Nassau County, Florida","Nassau County, Florida"
"","","Santa Cruz County, California","Santa Cruz County, California"
"","","Nassau County, New York","Nassau County, New York"
"","","Essex County, Massachusetts","Essex County, Massachusetts"
"","","Jefferson County, Missouri","Jefferson County, Missouri"
"","","Essex County, New Jersey","Essex County, New Jersey"
"","","Tippecanoe County, Indiana","Tippecanoe County, Indiana"
"","","Greenville County, South Carolina","Greenville County, South Carolina"
"","","Cameron County, Texas","Cameron County, Texas"
"","","East Baton Rouge Parish, Louisiana","East Baton Rouge Parish, Louisiana"
"","","Brazoria County, Texas","Brazoria County, Texas"
"","","Kitsap County, Washington","Kitsap County, Washington"
"","","Richland County, South Carolina","Richland County, South Carolina"
"","","DeSoto County, Mississippi","DeSoto County, Mississippi"
"","","Grand Forks County, North Dakota","Grand Forks County, North Dakota"
"","","Horry County, South Carolina","Horry County, South Carolina"
"","","Fulton County, Georgia","Fulton County, Georgia"
"","","Maui County, Hawaii","Maui County, Hawaii"
"","","Lafayette Parish, Louisiana","Lafayette Parish, Louisiana"
"","","Boone County, Missouri","Boone County, Missouri"
"","","Tulare County, California","Tulare County, California"
"","","Monroe County, Pennsylvania","Monroe County, Pennsylvania"
"","","York County, Virginia","York County, Virginia"
"","","Island County, Washington","Island County, Washington"
"","","Yolo County, California","Yolo County, California"
"","","Lafourche Parish, Louisiana","Lafourche Parish, Louisiana"
"","","Washington County, Minnesota","Washington County, Minnesota"
"","","Erie County, Ohio","Erie County, Ohio"
"","","St. Johns County, Florida","St. Johns County, Florida"
"","","Flagler County, Florida","Flagler County, Florida"
"","","Cumberland County, North Carolina","Cumberland County, North Carolina"
"","","Deschutes County, Oregon","Deschutes County, Oregon"
"","","Lexington County, South Carolina","Lexington County, South Carolina"
"","","Camden County, New Jersey","Camden County, New Jersey"
"","","Orange County, Texas","Orange County, Texas"
"","","Berkeley County, West Virginia","Berkeley County, West Virginia"
"","","San Benito County, California","San Benito County, California"
"","","Douglas County, Colorado","Douglas County, Colorado"
"","","Nash County, North Carolina","Nash County, North Carolina"
"","","Davidson County, North Carolina","Davidson County, North Carolina"
"","","Westmoreland County, Pennsylvania","Westmoreland County, Pennsylvania"
"","","Henrico County, Virginia","Henrico County, Virginia"
"","","Western Connecticut Planning Region, Connecticut","Western Connecticut Planning Region, Connecticut"
"","","Madison County, Tennessee","Madison County, Tennessee"
"","","Calvert County, Maryland","Calvert County, Maryland"
"","","Naugatuck Valley Planning Region, Connecticut","Naugatuck Valley Planning Region, Connecticut"
"","","Bulloch County, Georgia","Bulloch County, Georgia"
"","","Solano County, California","Solano County, California"
"","","Liberty County, Georgia","Liberty County, Georgia"
"","","Mobile County, Alabama","Mobile County, Alabama"
"","","Navajo County, Arizona","Navajo County, Arizona"
"","","Stanislaus County, California","Stanislaus County, California"
"","","Monroe County, Florida","Monroe County, Florida"
"","","Manatee County, Florida","Manatee County, Florida"
"","","Greater Bridgeport Planning Region, Connecticut","Greater Bridgeport Planning Region, Connecticut"
"","","Kankakee County, Illinois","Kankakee County, Illinois"
"","","Troup County, Georgia","Troup County, Georgia"
"","","Madison County, Illinois","Madison County, Illinois"
"","","DeKalb County, Illinois","DeKalb County, Illinois"
"","","Kane County, Illinois","Kane County, Illinois"
"","","Tazewell County, Illinois","Tazewell County, Illinois"
"","","Walker County, Georgia","Walker County, Georgia"
"","","Dubuque County, Iowa","Dubuque County, Iowa"
"","","Berrien County, Michigan","Berrien County, Michigan"
"","","Allegan County, Michigan","Allegan County, Michigan"
"","","Ottawa County, Michigan","Ottawa County, Michigan"
"","","Ingham County, Michigan","Ingham County, Michigan"
"","","Tulsa County, Oklahoma","Tulsa County, Oklahoma"
"","","Putnam County, New York","Putnam County, New York"
"","","Erie County, New York","Erie County, New York"
"","","Eaton County, Michigan","Eaton County, Michigan"
"","","Shiawassee County, Michigan","Shiawassee County, Michigan"
"","","Albany County, New York","Albany County, New York"
"","","Morgan County, Alabama","Morgan County, Alabama"
"","","Bay County, Michigan","Bay County, Michigan"
"","","Washington County, Oregon","Washington County, Oregon"
"","","Natrona County, Wyoming","Natrona County, Wyoming"
"","","Belmont County, Ohio","Belmont County, Ohio"
"","","Yamhill County, Oregon","Yamhill County, Oregon"
"","","Allegheny County, Pennsylvania","Allegheny County, Pennsylvania"
"","","Armstrong County, Pennsylvania","Armstrong County, Pennsylvania"
"","","Bayamón Municipio, Puerto Rico","Bayamón Municipio, Puerto Rico"
"","","Sarasota County, Florida","Sarasota County, Florida"
"","","Collier County, Florida","Collier County, Florida"
"","","Clermont County, Ohio","Clermont County, Ohio"
"","","Lehigh County, Pennsylvania","Lehigh County, Pennsylvania"
"","","Palm Beach County, Florida","Palm Beach County, Florida"
"","","Indian River County, Florida","Indian River County, Florida"
"","","Lorain County, Ohio","Lorain County, Ohio"
"","","Ashtabula County, Ohio","Ashtabula County, Ohio"
"","","Champaign County, Illinois","Champaign County, Illinois"
"","","Fort Bend County, Texas","Fort Bend County, Texas"
"","","Guaynabo Municipio, Puerto Rico","Guaynabo Municipio, Puerto Rico"
"","","Vermilion County, Illinois","Vermilion County, Illinois"
"","","Merrimack County, New Hampshire","Merrimack County, New Hampshire"
"","","Denton County, Texas","Denton County, Texas"
"","","Williamson County, Illinois","Williamson County, Illinois"
"","","Bell County, Texas","Bell County, Texas"
"","","Hunt County, Texas","Hunt County, Texas"
"","","Caguas Municipio, Puerto Rico","Caguas Municipio, Puerto Rico"
"","","Limestone County, Alabama","Limestone County, Alabama"
"","","Cochise County, Arizona","Cochise County, Arizona"
"","","Wake County, North Carolina","Wake County, North Carolina"
"","","Randolph County, North Carolina","Randolph County, North Carolina"
"","","Coryell County, Texas","Coryell County, Texas"
"","","Catawba County, North Carolina","Catawba County, North Carolina"
"","","Gregg County, Texas","Gregg County, Texas"
"","","Trujillo Alto Municipio, Puerto Rico","Trujillo Alto Municipio, Puerto Rico"
"","","San Francisco County, California","San Francisco County, California"
"","","Placer County, California","Placer County, California"
"","","Kern County, California","Kern County, California"
"","","Burleigh County, North Dakota","Burleigh County, North Dakota"
"","","Allen County, Ohio","Allen County, Ohio"
"","","Richland County, Ohio","Richland County, Ohio"
"","","Northwest Hills Planning Region, Connecticut","Northwest Hills Planning Region, Connecticut"
"","","Portage County, Ohio","Portage County, Ohio"
"","","Scioto County, Ohio","Scioto County, Ohio"
